year,month,carrier,carrier_name,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,12,OO,SkyWest Airlines,IMncC.I,238.0,22.0,19.0,2.0,1.0,0.0,0.0,3.0,0.0,2079.0,1134.0,903.0,42.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncE.I,53.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,153.0,153.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncE.M,65.0,15.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,677.0,533.0,29.0,0.0,0.0,115.0
2020,12,OO,SkyWest Airlines,IMncF.E,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncF.R,383.0,2.0,28.0,11.0,2.0,0.0,11.0,1.0,4.0,6190.0,1672.0,3164.0,39.0,0.0,1315.0
2020,12,OO,SkyWest Airlines,IMncH.T,52.0,8.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,688.0,185.0,0.0,0.0,0.0,503.0
2020,12,OO,SkyWest Airlines,IMncK.E,451.0,64.0,36.0,8.0,0.0,0.0,20.0,4.0,0.0,3267.0,1722.0,380.0,0.0,0.0,1165.0
2020,12,OO,SkyWest Airlines,IMncK.G,57.0,5.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,165.0,100.0,0.0,0.0,0.0,65.0
2020,12,OO,SkyWest Airlines,IMncL.I,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncL.U,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncO.T,63.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1652.0,1620.0,0.0,0.0,0.0,32.0
2020,12,OO,SkyWest Airlines,IMncQ.T,73.0,15.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,1023.0,796.0,227.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncR.Y,155.0,18.0,9.0,0.0,0.0,0.0,9.0,0.0,1.0,1227.0,450.0,0.0,0.0,0.0,777.0
2020,12,OO,SkyWest Airlines,IMncS.N,138.0,18.0,15.0,2.0,0.0,0.0,1.0,1.0,1.0,1014.0,552.0,300.0,0.0,0.0,162.0
2020,12,OO,SkyWest Airlines,IMncS.O,159.0,23.0,21.0,2.0,0.0,0.0,0.0,2.0,1.0,1260.0,1180.0,80.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IMncS.P,2351.0,9.0,202.0,54.0,0.0,1.0,2.0,65.0,1.0,31111.0,20968.0,10048.0,0.0,22.0,73.0
2020,12,OO,SkyWest Airlines,IMncT.J,95.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,536.0,504.0,32.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IOncA.K,168.0,10.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,305.0,136.0,104.0,15.0,0.0,50.0
2020,12,OO,SkyWest Airlines,IOncG.S,53.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,553.0,518.0,0.0,0.0,0.0,35.0
2020,12,OO,SkyWest Airlines,IOncK.C,388.0,67.0,55.0,2.0,0.0,1.0,9.0,3.0,1.0,3440.0,2813.0,140.0,0.0,20.0,467.0
2020,12,OO,SkyWest Airlines,IOncM.A,348.0,49.0,36.0,4.0,0.0,1.0,8.0,4.0,0.0,2638.0,1526.0,198.0,0.0,18.0,896.0
2020,12,OO,SkyWest Airlines,IOncR.D,2671.0,265.0,154.0,31.0,29.0,0.0,51.0,48.0,2.0,24913.0,12690.0,4579.0,3078.0,0.0,4566.0
2020,12,OO,SkyWest Airlines,IOncR.F,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IOncT.H,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,75.0,38.0,37.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnAc.E,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnAc.H,62.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnBc.G,53.0,7.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,848.0,506.0,0.0,0.0,0.0,342.0
2020,12,OO,SkyWest Airlines,IPnDc.X,719.0,60.0,35.0,12.0,1.0,0.0,12.0,10.0,1.0,3438.0,1651.0,791.0,16.0,0.0,980.0
2020,12,OO,SkyWest Airlines,IPnHc.X,1747.0,198.0,130.0,9.0,2.0,4.0,53.0,9.0,1.0,21417.0,11872.0,765.0,45.0,254.0,8481.0
2020,12,OO,SkyWest Airlines,IPnIcB.,53.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnIcH.,100.0,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1106.0,857.0,249.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnIcR.,53.0,9.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,380.0,231.0,0.0,0.0,0.0,149.0
2020,12,OO,SkyWest Airlines,IPnIcT.,90.0,12.0,10.0,2.0,0.0,0.0,0.0,3.0,0.0,750.0,676.0,74.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnLcN.,53.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1014.0,229.0,785.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnNc.S,41.0,6.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,543.0,273.0,0.0,0.0,0.0,270.0
2020,12,OO,SkyWest Airlines,IPnRc.C,63.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,234.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnSc.C,272.0,31.0,18.0,10.0,2.0,0.0,1.0,1.0,1.0,1830.0,953.0,618.0,226.0,0.0,33.0
2020,12,OO,SkyWest Airlines,IPnSc.P,542.0,67.0,48.0,4.0,3.0,0.0,12.0,7.0,3.0,5981.0,2418.0,769.0,2065.0,0.0,729.0
2020,12,OO,SkyWest Airlines,IPnUc.B,53.0,7.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,226.0,181.0,0.0,0.0,0.0,45.0
2020,12,OO,SkyWest Airlines,IPnVc.D,15.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,201.0,166.0,35.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IPnWc.M,,,,,,,,,,,,,,,
2020,12,OO,SkyWest Airlines,IRnAc.P,192.0,26.0,18.0,6.0,0.0,0.0,2.0,3.0,0.0,991.0,512.0,324.0,0.0,0.0,155.0
2020,12,OO,SkyWest Airlines,IRnDc.D,29.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IRnDc.M,372.0,37.0,23.0,9.0,0.0,0.0,5.0,0.0,3.0,3701.0,1235.0,1993.0,0.0,0.0,473.0
2020,12,OO,SkyWest Airlines,IRnHc.I,63.0,11.0,9.0,2.0,0.0,0.0,0.0,2.0,1.0,490.0,340.0,150.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IRnIcC.,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,31.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IRnIcW.,45.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,699.0,0.0,0.0,699.0,0.0,0.0
